Band Pass, Blackman
-22, -0.001882548
-21, -0.005596947
-20, -0.004663616
-19, 0.001482249
-18, 0.008063771
-17, 0.008317831
-16, -7.008178E-18
-15, -0.01087549
-14, -0.01380259
-13, -0.00332995
-12, 0.0138057
-11, 0.0219544
-10, 0.00985775
-9, -0.01656059
-8, -0.03476978
-7, -0.02278984
-6, 0.0188241
-5, 0.05925028
-4, 0.0544155
-3, -0.02031355
-2, -0.1458152
-1, -0.2641123
0, 0.6875
1, -0.2641123
2, -0.1458152
3, -0.02031355
4, 0.0544155
5, 0.05925028
6, 0.0188241
7, -0.02278984
8, -0.03476978
9, -0.01656059
10, 0.00985775
11, 0.0219544
12, 0.0138057
13, -0.00332995
14, -0.01380259
15, -0.01087549
16, -7.008178E-18
17, 0.008317831
18, 0.008063771
19, 0.001482249
20, -0.004663616
21, -0.005596947
22, -0.001882548
23, 0.002346211
24, 0.003608615
25, 0.001704395
26, -0.0009924551
27, -0.002136884
28, -0.001285392
29, 0.0002936311
30, 0.001141485
31, 0.0008351678
32, 9.889386E-19
33, -0.0005329119
34, -0.0004628334
35, -7.499447E-05
36, 0.0002038617
37, 0.0002059782
38, 5.633109E-05
39, -5.434579E-05
40, -6.011111E-05
41, -1.810322E-05
42, 5.361773E-06
43, 3.337152E-06
44, -7.622589E-11
HighPass, Blackman
-44, -7.622589E-11
-43, 3.337152E-06
-42, 5.361773E-06
-41, -1.810322E-05
-40, -6.011111E-05
-39, -5.434579E-05
-38, 5.633109E-05
-37, 0.0002059782
-36, 0.0002038617
-35, -7.499447E-05
-34, -0.0004628334
-33, -0.0005329119
-32, 9.889386E-19
-31, 0.0008351678
-30, 0.001141485
-29, 0.0002936311
-28, -0.001285392
-27, -0.002136884
-26, -0.0009924551
-25, 0.001704395
-24, 0.003608615
-23, 0.002346211
-22, -0.001882548
-21, -0.005596947
-20, -0.004663616
-19, 0.001482249
-18, 0.008063771
-17, 0.008317831
-16, -7.008178E-18
-15, -0.01087549
-14, -0.01380259
-13, -0.00332995
-12, 0.0138057
-11, 0.0219544
-10, 0.00985775
-9, -0.01656059
-8, -0.03476978
-7, -0.02278984
-6, 0.0188241
-5, 0.05925028
-4, 0.0544155
-3, -0.02031355
-2, -0.1458152
-1, -0.2641123
0, 0.6875
1, -0.2641123
2, -0.1458152
3, -0.02031355
4, 0.0544155
5, 0.05925028
6, 0.0188241
7, -0.02278984
8, -0.03476978
9, -0.01656059
10, 0.00985775
11, 0.0219544
12, 0.0138057
13, -0.00332995
14, -0.01380259
15, -0.01087549
16, -7.008178E-18
17, 0.008317831
18, 0.008063771
19, 0.001482249
20, -0.004663616
21, -0.005596947
22, -0.001882548
23, 0.002346211
24, 0.003608615
25, 0.001704395
26, -0.0009924551
27, -0.002136884
28, -0.001285392
29, 0.0002936311
30, 0.001141485
31, 0.0008351678
32, 9.889386E-19
33, -0.0005329119
34, -0.0004628334
35, -7.499447E-05
36, 0.0002038617
37, 0.0002059782
38, 5.633109E-05
39, -5.434579E-05
40, -6.011111E-05
41, -1.810322E-05
42, 5.361773E-06
43, 3.337152E-06
44, -7.622589E-11
LowPass, Hamming
-26, -0.0009139995
-25, 0.0002167359
-24, 0.001327028
-23, 0.000321385
-22, -0.001923817
-21, -0.001468365
-20, 0.00236273
-19, 0.003484657
-18, -0.001992581
-17, -0.006283724
-16, 6.69667E-18
-15, 0.009266946
-14, 0.004343064
-13, -0.01127129
-12, -0.01140246
-11, 0.01063071
-10, 0.0209644
-9, -0.005258313
-8, -0.03215608
-7, -0.007544981
-6, 0.04354615
-5, 0.0325932
-4, -0.05341364
-3, -0.08568204
-2, 0.06012214
-1, 0.3111857
0, 0.4375
1, 0.3111857
2, 0.06012214
3, -0.08568204
4, -0.05341364
5, 0.0325932
6, 0.04354615
7, -0.007544981
8, -0.03215608
9, -0.005258313
10, 0.0209644
11, 0.01063071
12, -0.01140246
13, -0.01127129
14, 0.004343064
15, 0.009266946
16, 6.69667E-18
17, -0.006283724
18, -0.001992581
19, 0.003484657
20, 0.00236273
21, -0.001468365
22, -0.001923817
23, 0.000321385
24, 0.001327028
25, 0.0002167359
26, -0.0009139995
LowPass, Hamming
-26, -0.0009139995
-25, 0.0002167359
-24, 0.001327028
-23, 0.000321385
-22, -0.001923817
-21, -0.001468365
-20, 0.00236273
-19, 0.003484657
-18, -0.001992581
-17, -0.006283724
-16, 6.69667E-18
-15, 0.009266946
-14, 0.004343064
-13, -0.01127129
-12, -0.01140246
-11, 0.01063071
-10, 0.0209644
-9, -0.005258313
-8, -0.03215608
-7, -0.007544981
-6, 0.04354615
-5, 0.0325932
-4, -0.05341364
-3, -0.08568204
-2, 0.06012214
-1, 0.3111857
0, 0.4375
1, 0.3111857
2, 0.06012214
3, -0.08568204
4, -0.05341364
